,city,cloudiness perc,humidity perc,lat,lon,max temp,wind speed
94,pathein,0,80,16.78,94.73,75.42,6.96
95,carlsbad,90,92,50.23,12.87,23.0,18.34
96,dikson,0,94,73.51,80.55,-15.48,11.54
97,mataura,44,85,-46.19,168.86,39.15,2.82
98,chaozhou,75,77,23.66,116.62,64.4,4.47
99,castro,76,75,-42.48,-73.76,57.6,4.61
100,cockburn town,76,100,21.46,-71.14,75.42,13.33
101,kitui,68,93,-1.37,38.02,66.42,2.37
102,mar del plata,0,51,-46.43,-67.52,62.28,2.93
103,russell,0,33,-33.01,-68.8,86.0,10.29
104,ribeira grande,64,93,38.52,-28.7,63.63,19.37
105,oranjemund,0,85,-28.55,16.43,65.25,24.52
106,narsaq,75,36,60.91,-46.05,46.4,9.17
107,abancay,90,87,-13.64,-72.88,53.6,10.29
108,vestmannaeyjar,90,100,63.44,-20.27,44.6,20.8
109,nan,44,96,18.78,100.78,67.5,2.15
110,atuona,48,100,-9.8,-139.03,78.84,12.33
111,goundi,0,20,9.36,17.37,87.75,5.84
112,dwarka,0,40,28.58,77.04,73.4,4.7
113,usinsk,76,76,66.0,57.56,-0.45,5.84
114,bambous virieux,90,94,-20.34,57.76,78.8,16.11
115,port lincoln,0,96,-34.72,135.86,62.46,24.85
116,dingle,20,79,11.0,122.67,77.94,15.01
117,bajil,32,52,38.23,-2.07,50.22,19.37
118,nanortalik,92,88,60.14,-45.24,36.45,27.76
119,nantucket,1,55,41.28,-70.1,41.0,29.97
120,comodoro rivadavia,20,67,-45.87,-67.48,60.8,11.41
121,dayong,68,98,11.74,122.04,81.54,21.83
122,archidona,76,100,-0.91,-77.81,67.32,3.6
123,kieta,92,100,-6.22,155.63,75.33,4.5
124,hami,0,77,42.84,93.51,39.69,5.17
125,sabile,0,79,57.05,22.57,21.2,1.12
126,diffa,0,14,13.32,12.61,86.22,7.07
127,santa engracia,20,81,41.94,-1.32,42.8,5.82
128,jiazi,0,94,19.61,110.49,71.6,6.71
129,gaspe,90,53,48.83,-64.48,24.8,9.17
130,tuktoyaktuk,90,84,69.44,-133.03,3.2,12.75
131,faya,0,77,18.39,42.45,62.6,4.7
132,cabo san lucas,40,34,22.89,-109.91,82.4,8.05
133,henties bay,0,88,-22.12,14.28,65.07,3.71
134,alofi,0,100,-19.06,-169.92,69.8,5.39
135,chicama,75,83,-7.84,-79.15,71.6,10.29
136,ballina,40,68,54.11,-9.15,30.2,13.87
137,san cristobal,75,63,-0.39,-78.55,60.8,16.11
138,bonavista,48,93,48.65,-53.11,34.2,2.82
139,mahebourg,90,94,-20.41,57.7,78.8,16.11
140,kahului,20,83,20.89,-156.47,77.0,3.36
141,buchanan,75,83,5.88,-10.05,82.4,6.93
142,rio gallegos,75,38,-51.62,-69.22,59.0,31.09
143,sostanj,90,86,46.38,15.05,41.0,11.41
144,fortuna,20,44,38.18,-1.13,59.0,16.11
145,pokhara,0,76,28.21,83.99,41.13,2.71
146,khatanga,8,0,71.98,102.47,-38.7,3.38
147,hays,1,40,38.88,-99.33,51.8,3.36
148,mount isa,0,83,-20.73,139.49,71.6,6.73
149,fengrun,0,93,39.83,118.12,26.28,2.93
150,gizo,0,67,31.8,34.94,60.8,5.82
151,carnarvon,0,41,-30.97,22.13,64.08,5.06
152,husavik,8,100,50.56,-96.99,27.54,8.97
153,mugango,24,94,-1.69,33.7,72.27,6.62
154,banda aceh,24,100,5.56,95.32,74.88,2.04
155,high level,75,68,58.52,-117.13,24.8,11.41
156,nouakchott,68,81,18.08,-15.98,70.38,17.81
157,malko tarnovo,0,59,41.98,27.52,62.6,14.99
158,tuatapere,92,100,-46.13,167.69,54.45,3.83
159,taltal,0,60,-25.41,-70.49,71.28,5.39
160,allapalli,0,69,19.43,80.06,75.33,7.4
161,bundaberg,80,100,-24.87,152.35,76.14,13.78
162,magadan,40,60,59.56,150.8,6.8,11.18
163,sao filipe,0,93,14.9,-24.5,71.46,17.13
164,tilichiki,48,75,60.47,166.1,23.76,21.5
165,shingu,0,100,33.72,135.99,51.21,5.84
166,georgetown,75,55,6.8,-58.16,86.0,16.11
167,el retorno,32,73,2.33,-72.63,85.5,2.93
168,saryozek,0,73,44.36,77.98,18.0,3.15
169,kutum,0,14,14.2,24.66,67.77,7.74
170,kralendijk,0,78,12.15,-68.27,82.4,12.75
171,ahipara,24,98,-35.17,173.16,64.89,18.59
172,barra do garcas,20,75,-15.89,-52.26,90.36,3.83
173,sao gabriel da cachoeira,40,62,-0.13,-67.09,89.6,5.82
174,karuzi,12,94,-3.1,30.16,59.76,2.37
175,beira,40,70,43.2,-8.36,48.2,3.36
176,airai,24,86,-8.93,125.41,67.41,1.36
177,westport,40,68,53.8,-9.52,30.2,13.87
178,bonthe,32,72,7.53,-12.5,83.88,6.06
179,novikovo,80,84,45.05,34.56,49.86,5.5
180,stillwater,1,41,36.12,-97.06,60.8,3.36
181,kaeo,88,89,-35.1,173.78,64.26,18.7
182,berlevag,92,100,70.86,29.09,30.78,19.26
183,pevek,0,72,69.7,170.27,-36.63,0.69
184,vostok,24,77,46.45,135.83,24.03,5.5
185,tonantins,44,70,-2.86,-67.77,88.29,4.16
186,copan,1,43,36.9,-95.93,59.0,3.36
187,ola,40,60,59.58,151.3,6.8,11.18
188,ranau,0,97,5.95,116.67,65.16,2.04
189,lata,0,83,30.78,78.62,36.63,2.48
190,mount gambier,100,77,-37.83,140.78,63.72,15.01
191,roald,0,53,62.58,6.12,28.4,5.82
192,la ronge,20,54,55.1,-105.3,30.2,2.24
193,thompson,5,48,55.74,-97.86,19.4,9.17
194,padang,24,100,-0.92,100.36,84.15,7.52
195,limbang,75,94,4.75,115.01,78.8,1.12
196,torbay,75,51,47.66,-52.73,35.6,8.05
197,norman wells,90,86,65.28,-126.83,26.6,4.83
198,aykhal,20,50,65.95,111.51,-18.18,4.83
199,mehamn,92,93,71.03,27.85,32.67,16.24
200,clyde river,90,75,70.47,-68.59,-14.81,17.22
201,bogorodskoye,32,63,52.37,140.44,3.51,2.48
202,bell ville,8,72,-32.63,-62.69,83.7,11.54
203,vanavara,64,62,60.35,102.28,3.69,3.49
204,cidreira,20,58,-30.17,-50.22,83.7,9.75
205,kruisfontein,68,86,-34.0,24.73,67.5,19.82
206,paita,40,52,-5.09,-81.11,89.6,9.17
207,vardo,90,55,39.62,-77.74,41.0,10.29
208,mitrofanovka,80,67,45.45,34.68,49.86,9.75
209,alice springs,0,36,-23.7,133.88,80.6,8.05
210,marrakesh,32,54,31.63,-7.99,57.2,8.05
211,kabelvag,75,69,68.21,14.48,39.2,25.28
212,port hardy,75,75,50.7,-127.42,44.6,3.36
213,vagay,88,86,57.94,69.02,28.35,13.89
214,svetlaya,76,100,46.54,138.33,30.06,10.2
215,bandarbeyla,0,100,9.49,50.81,78.12,5.61
216,colinas,36,72,-6.03,-44.25,85.23,2.93
217,vila velha,40,70,-3.71,-38.6,86.0,12.75
218,mount pleasant,40,69,33.16,-94.97,75.2,5.5
219,ilulissat,75,65,69.22,-51.1,8.6,3.36
220,half moon bay,20,71,37.46,-122.43,55.4,8.05
221,upernavik,64,100,72.79,-56.15,0.0,21.27
222,nabire,32,92,-3.36,135.5,65.25,1.92
223,chara,20,51,39.42,22.43,62.6,11.41
224,sfantu gheorghe,0,87,44.65,26.83,48.2,25.28
225,marmande,92,87,44.5,0.16,42.8,2.24
226,sukumo,12,79,32.94,132.72,43.38,6.17
227,bathsheba,20,66,13.22,-59.52,84.2,16.11
228,srandakan,36,100,-7.94,110.25,70.29,2.82
229,barrow,0,41,-38.31,-60.23,86.58,9.98
230,dali,44,98,25.6,100.24,45.9,2.15
231,oum hadjer,0,33,13.3,19.7,80.37,4.38
232,deep river,1,28,46.1,-77.49,17.6,13.87
233,torzhok,64,74,57.04,34.97,7.83,7.63
234,los llanos de aridane,20,63,28.66,-17.92,64.4,5.82
235,panjab,80,76,34.38,67.02,19.35,2.15
236,newton,90,100,41.7,-93.05,35.6,6.93
237,porto novo,75,62,-23.68,-45.44,84.2,10.29
238,urubicha,44,66,-15.63,-63.08,86.58,6.62
239,abeokuta,40,88,7.16,3.35,80.6,2.24
240,pisco,0,54,-13.71,-76.2,82.4,17.22
241,lokoja,12,75,7.8,6.74,82.26,2.82
242,qaanaaq,0,91,77.48,-69.36,-15.57,8.63
243,tromso,90,95,69.65,18.96,32.0,19.46
244,south sioux city,90,80,42.47,-96.41,35.6,3.36
245,baleshwar,0,88,21.5,86.92,72.09,3.15
246,kassala,0,22,15.45,36.38,77.13,9.19
247,coquimbo,0,64,-29.95,-71.34,68.0,12.75
248,beitbridge,92,72,-22.21,29.99,71.01,19.71
249,stromness,1,50,42.87,-79.55,41.0,11.41
250,yulara,0,39,-25.24,130.99,73.4,5.82
251,beringovskiy,80,93,63.05,179.32,18.36,29.33
252,yerbogachen,0,66,61.28,108.01,-4.59,2.93
253,de aar,20,33,-30.65,24.01,70.92,6.4
254,touros,12,71,-5.2,-35.46,86.22,12.66
255,saldanha,80,78,41.42,-6.55,45.0,6.73
256,hit,0,21,33.64,42.83,61.02,9.98
257,jalu,0,18,29.03,21.55,80.1,10.42
258,saint george,20,51,39.45,22.34,62.6,11.41
259,quatre cocos,90,94,-20.21,57.76,78.8,16.11
260,mutoko,0,62,-17.4,32.23,70.74,7.18
261,billings,90,94,45.79,-108.5,32.0,9.17
262,wanxian,48,92,30.8,108.39,46.53,2.15
263,meadow lake,90,80,54.13,-108.44,30.2,3.94
264,orlik,0,55,52.51,99.83,2.07,1.92
265,sorland,75,69,67.67,12.69,39.2,25.28
266,tchaourou,64,46,8.89,2.6,90.36,3.04
267,zhezkazgan,92,86,47.8,67.71,28.71,9.64
268,opuwo,64,71,-18.06,13.84,73.62,2.37
269,terre-de-bas,20,58,15.85,-61.64,84.2,12.75
270,sioux lookout,75,23,50.1,-91.92,39.2,11.41
271,sartell,1,20,45.62,-94.21,48.2,5.82
272,ducheng,100,100,30.54,114.9,56.25,5.61
273,markova,0,92,52.21,104.21,21.2,4.47
274,omsukchan,64,43,62.53,155.8,-16.38,3.15
275,bowen,64,88,-20.01,148.25,71.6,6.93
276,vyshchetarasivka,75,93,47.57,34.88,37.4,11.18
277,saint-louis,90,100,47.59,7.56,39.2,9.17
278,talcahuano,40,59,-36.72,-73.12,64.4,11.41
279,ventspils,0,85,57.39,21.56,19.4,1.12
280,isangel,80,100,-19.55,169.27,80.55,14.56
281,katsuura,0,90,33.93,134.5,35.55,2.26
282,bojnurd,90,93,37.47,57.33,42.8,16.11
283,leca da palmeira,20,71,41.19,-8.7,51.8,4.7
284,myitkyina,68,100,25.38,97.4,61.02,2.71
285,el dorado,20,57,6.71,-61.64,84.78,4.83
286,palauig,8,100,15.44,119.9,72.99,3.71
287,khash,48,28,28.22,61.21,61.56,12.21
288,muros,40,87,42.77,-9.06,44.6,5.82
289,homer,1,90,59.64,-151.54,35.6,2.59
290,hithadhoo,8,100,-0.6,73.08,84.51,14.9
291,canico,40,63,32.63,-16.85,66.2,3.36
292,sumoto,0,87,34.35,134.9,42.8,3.71
293,cabedelo,75,62,-6.97,-34.84,84.2,10.29
294,zhigansk,20,46,66.77,123.37,-15.48,10.42
295,umm lajj,0,97,25.02,37.27,68.13,5.95
296,haines junction,20,83,60.75,-137.51,13.23,2.59
297,zonguldak,76,57,41.25,31.83,59.13,5.39
298,mayumba,48,93,-3.44,10.65,81.45,11.77
299,grindavik,90,87,63.84,-22.43,44.6,21.92
300,bud,0,54,62.91,6.91,28.4,4.7
301,buala,24,100,-8.15,159.59,77.58,2.71
302,hofn,92,93,64.25,-15.21,41.58,6.29
303,callaway,1,41,46.98,-95.91,42.8,6.93
304,vanimo,88,100,-2.67,141.3,79.38,10.76
305,saint-joseph,0,54,43.56,6.97,55.4,9.17
306,ust-nera,20,0,64.57,143.24,-29.97,2.48
307,ust-kuyga,36,0,70.0,135.55,-30.78,2.71
308,miraflores,0,43,5.2,-73.14,70.92,2.48
309,fairbanks,75,86,64.84,-147.72,26.6,3.15
310,athens,1,57,34.8,-86.97,77.0,14.99
311,marawi,32,95,8.0,124.29,66.06,2.71
312,beni,24,86,0.49,29.47,72.27,2.37
313,bogovarovo,32,56,58.98,47.02,-1.17,5.06
314,kampene,36,87,-3.59,26.67,74.88,1.81
315,zhicheng,80,98,35.04,112.59,37.35,3.04
316,caravelas,32,100,-17.73,-39.27,82.08,11.43
317,marsa matruh,0,82,31.35,27.25,62.6,13.87
318,sindou,64,63,10.66,-5.16,83.43,0.58
319,talnakh,32,35,69.49,88.39,-23.58,2.93
320,sikasso,64,61,11.32,-5.68,85.5,4.94
321,camalu,48,63,30.85,-116.07,57.78,5.73
322,puerto colombia,20,59,10.99,-74.96,89.6,13.87
323,puerto carreno,40,35,6.19,-67.49,98.6,5.82
324,provideniya,0,100,64.42,-173.23,-2.25,42.97
325,kloulklubed,90,74,7.04,134.26,80.6,8.05
326,viedma,0,39,-40.81,-62.99,77.85,9.42
327,kumluca,20,58,36.37,30.29,47.25,1.59
328,lorengau,48,100,-2.02,147.27,80.82,10.65
329,luderitz,0,72,-26.65,15.16,64.4,5.82
330,rayon,90,96,49.17,2.04,33.8,9.17
331,kimbe,92,100,-5.56,150.15,73.8,6.96
332,raudeberg,44,46,61.99,5.14,28.4,8.05
333,aguimes,20,55,27.91,-15.45,64.4,17.22
334,batangafo,24,58,7.3,18.29,83.43,2.59
335,guerrero negro,44,68,27.97,-114.04,61.02,12.1
336,livingston,1,51,32.58,-88.19,82.4,9.17
337,eureka,40,62,40.8,-124.16,51.8,8.05
338,port-gentil,40,83,-0.72,8.78,80.6,5.82
339,dir,76,43,6.33,13.54,81.27,3.15
340,maham,0,59,28.97,76.3,63.63,4.16
341,puga,0,62,20.14,-98.07,83.25,3.6
342,arkhangelsk,0,83,64.54,40.54,-5.81,4.47
343,iqaluit,75,66,63.75,-68.52,15.8,5.82
344,verkhnevilyuysk,48,62,63.45,120.31,-7.47,6.4
345,bull savanna,64,63,17.89,-77.59,82.44,5.28
346,dalvik,0,57,57.79,14.13,21.2,8.05
347,broken hill,0,31,-31.97,141.45,72.36,11.99
348,souillac,36,87,45.6,-0.6,44.6,4.7
349,praxedis guerrero,1,25,31.37,-106.02,69.8,14.99
350,louth,88,96,53.37,0.0,32.0,46.08
351,ozieri,20,66,40.59,9.0,55.4,11.41
352,hovd,75,91,63.83,10.7,32.0,14.99
353,dharchula,0,75,29.85,80.53,30.87,1.92
354,avera,40,73,33.19,-82.53,71.6,11.41
355,atakpame,24,81,7.53,1.13,83.25,4.5
356,saint-francois,0,75,46.42,3.91,42.8,1.12
357,broome,75,100,52.47,1.45,32.0,24.16
358,kentville,75,62,45.08,-64.5,21.2,16.11
359,tecoanapa,5,74,16.99,-99.26,80.6,9.17
360,rajshahi,100,64,24.37,88.59,72.0,6.62
361,saint-augustin,20,87,44.83,-0.61,46.4,4.7
362,varna,0,55,43.22,27.9,62.6,3.36
363,bubaque,8,58,11.28,-15.83,84.2,8.05
364,mandera,20,41,3.94,41.86,85.32,1.14
365,santa cruz,75,71,36.97,-122.03,55.4,2.93
366,tabou,44,100,4.42,-7.36,81.45,15.23
367,acari,12,48,-6.44,-36.64,88.56,4.16
368,rio grande,90,83,-32.03,-52.1,73.4,8.05
369,cookeville,1,53,36.16,-85.5,73.4,14.99
370,ust-ilimsk,68,77,57.96,102.73,15.84,2.59
371,port macquarie,0,100,-31.43,152.91,66.2,6.62
372,hun,80,74,50.34,4.87,28.4,16.11
373,muroto,0,100,33.37,134.14,41.13,0.81
374,ankang,100,97,32.73,108.99,37.53,2.15
375,port blair,0,100,11.67,92.75,82.71,8.19
376,chuy,12,64,-33.69,-53.46,81.9,12.66
377,kankon,0,100,15.02,74.02,82.35,4.94
378,twentynine palms,40,41,34.14,-116.05,69.8,5.82
379,igarka,80,64,67.47,86.57,-8.28,13.11
380,praia da vitoria,76,96,38.73,-27.07,63.0,19.6
381,laguna,90,59,27.52,-110.01,66.2,6.93
382,gat,0,33,14.69,-16.54,100.4,2.24
383,alice town,0,100,25.72,-79.3,72.0,7.63
384,lavrentiya,0,100,65.58,-170.99,-9.18,37.04
385,aklavik,75,71,68.22,-135.01,6.8,11.41
386,santa maria,64,89,-29.69,-53.81,83.25,5.84
387,paamiut,80,93,61.99,-49.67,31.86,8.63
388,khammam,0,72,17.25,80.15,74.52,4.94
389,dzilam gonzalez,0,46,21.28,-88.93,91.26,6.4
390,gberia fotombu,32,28,9.88,-11.17,95.31,4.16
391,sao felix do xingu,68,75,-6.64,-51.99,84.96,2.37
392,puerto del rosario,20,52,28.5,-13.86,66.2,13.87
393,lodwar,8,61,3.12,35.6,78.93,4.83
394,puntarenas,75,40,9.98,-84.84,86.0,13.87
395,biloli,0,59,18.77,77.72,74.43,9.53
396,rock sound,0,100,24.9,-76.2,72.72,8.41
397,bimbo,20,83,4.33,18.53,84.2,2.24
398,sassandra,0,95,4.95,-6.09,81.63,16.69
399,uribia,0,42,11.71,-72.27,93.69,19.48
400,sobolevo,0,77,54.43,31.9,9.27,12.66
401,orapa,0,43,-21.28,25.37,81.36,17.02
402,ogre,40,62,56.82,24.61,24.8,6.93
403,okhotsk,76,100,59.36,143.24,5.22,4.72
404,lomovka,75,74,53.92,58.37,28.4,6.71
405,sao miguel do araguaia,20,92,-13.28,-50.16,85.14,2.37
406,nome,90,65,30.04,-94.42,80.6,11.41
407,ormara,44,93,25.21,64.64,71.46,8.19
408,smithers,75,69,54.78,-127.17,39.2,2.59
409,teya,40,37,21.05,-89.07,96.8,6.93
410,santa vitoria do palmar,12,64,-33.52,-53.37,81.9,12.66
411,suda,8,65,59.15,37.56,3.06,8.19
412,nara,0,81,34.68,135.8,42.8,4.7
413,belmonte,92,98,40.36,-7.35,43.02,2.93
414,fez,75,62,34.03,-5.02,57.2,17.22
415,pochutla,40,100,15.74,-96.47,87.8,11.41
416,tarko-sale,92,83,64.92,77.78,14.58,10.2
417,bemidji,1,33,47.48,-94.89,42.8,4.7
418,samarai,92,100,-10.62,150.67,77.94,6.62
419,rauma,0,68,61.13,21.5,26.6,9.17
420,amahai,56,100,-3.31,129.0,80.19,10.42
421,merauke,92,100,-8.49,140.4,74.88,0.92
422,soyo,0,60,-6.13,12.37,83.79,7.74
423,mahibadhoo,44,100,3.78,72.97,84.24,8.52
424,axim,92,100,4.87,-2.24,81.54,14.45
425,yermakovskoye,0,67,53.28,92.4,11.97,2.71
426,nadym,92,80,65.53,72.51,15.3,11.77
427,san ramon de la nueva oran,12,93,-23.13,-64.33,83.88,4.5
428,neijiang,92,78,29.59,105.06,62.28,11.65
429,hay river,75,72,60.82,-115.79,15.8,10.29
430,aleksandrov gay,76,84,50.14,48.57,23.49,10.98
431,geraldton,90,37,49.72,-86.95,17.6,5.82
432,silay,44,74,10.8,122.98,78.84,13.22
433,fort nelson,75,68,58.81,-122.69,26.6,2.24
434,cheremshan,76,77,54.66,51.51,9.27,5.06
435,kupang,0,99,-10.16,123.6,78.75,3.94
436,yar-sale,80,90,66.83,70.83,1.44,16.46
437,honiara,40,94,-9.43,159.96,75.2,2.24
438,kautokeino,68,80,69.01,23.04,27.9,10.42
439,pasni,36,98,25.26,63.48,73.35,7.96
440,north bay,40,28,46.31,-79.46,14.0,12.75
441,belaya gora,8,0,68.54,146.19,-35.55,3.6
442,lasa,20,93,34.92,32.53,59.0,3.36
443,sistranda,75,96,63.73,8.83,32.0,26.4
444,nizhniy baskunchak,88,82,48.22,46.83,35.55,11.99
445,amapa,40,59,15.09,-87.97,91.4,6.93
446,thinadhoo,64,100,0.53,72.93,84.33,11.65
447,goderich,0,72,43.74,-81.71,35.82,14.45
448,san patricio,8,53,-26.98,-56.83,95.76,6.17
449,demerval lobao,40,52,-5.36,-42.68,93.2,4.7
450,khandyga,0,38,62.65,135.58,-25.47,2.59
451,vuktyl,64,72,63.86,57.31,10.35,9.42
452,seymchan,68,39,62.93,152.39,-13.14,7.4
453,bafoulabe,44,18,13.81,-10.83,98.46,7.52
454,mtsensk,76,82,53.28,36.58,9.45,16.02
455,nichinan,92,100,31.65,131.31,48.6,5.61
456,fomboni,68,96,-12.28,43.74,85.41,14.79
457,carutapera,56,79,-1.2,-46.02,84.33,9.31
458,lalibela,48,80,12.04,39.05,56.52,2.37
459,bedesa,88,95,8.9,40.78,57.51,2.26
460,deputatskiy,64,38,69.3,139.9,-26.28,2.82
461,shelburne,1,58,44.08,-80.2,41.0,13.87
462,shimoda,0,100,34.7,138.93,50.76,0.69
463,balakovo,80,89,52.02,47.82,20.88,11.65
464,coihaique,75,50,-45.58,-72.07,55.4,8.05
465,pueblo bello,40,62,8.2,-76.53,89.6,13.87
466,puerto baquerizo moreno,75,74,-0.9,-89.6,84.2,11.41
467,brewster,1,38,41.76,-70.08,42.8,21.92
468,mookane,80,61,-23.68,26.66,75.06,15.46
469,springbok,0,24,-29.67,17.88,75.6,8.08
470,grand gaube,90,94,-20.01,57.66,78.8,16.11
471,bismarck,90,100,46.81,-100.78,33.8,9.17
472,auki,0,36,12.18,6.51,85.86,3.15
473,loikaw,0,89,19.67,97.21,60.75,2.15
474,moerai,88,100,-22.43,-151.33,76.86,14.0
475,silver city,1,26,32.77,-108.28,59.0,16.11
476,hamilton,20,51,32.3,-64.78,62.6,19.46
477,rafaela,0,75,-31.25,-61.49,86.13,5.5
478,nelson bay,20,94,-32.72,152.14,68.0,3.36
479,chapais,1,42,49.78,-74.86,5.0,13.87
480,naze,48,79,5.43,7.07,80.28,7.4
481,griffith,0,42,-34.29,146.06,72.99,17.13
482,boyolangu,20,92,-8.09,111.9,66.15,2.48
483,salekhard,76,79,66.54,66.62,-8.28,19.82
484,labuan,75,100,5.28,115.24,78.8,2.37
485,pimentel,8,77,-3.7,-45.5,86.4,1.25
486,ocos,20,41,14.51,-92.19,93.2,17.22
487,cap malheureux,90,94,-19.98,57.61,78.8,16.11
488,zyryanovsk,76,87,49.74,84.27,22.86,2.71
489,rybnaya sloboda,75,71,55.46,50.14,8.6,4.47
490,kushiro,0,82,43.11,144.15,22.59,6.85
491,pandan,68,98,11.72,122.09,81.54,21.83
492,cap-aux-meules,90,85,47.38,-61.86,23.0,20.8
493,sibolga,12,100,1.74,98.78,69.03,2.26
494,huejuquilla el alto,0,18,22.63,-103.9,72.0,4.05
495,colac,92,84,-38.34,143.59,65.88,15.01
496,lerwick,20,100,60.15,-1.15,33.8,8.05
497,alyangula,12,100,-13.85,136.42,82.98,9.64
